from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,AnnualNetValue_SEK,Coeff_SEK_per_kWh_annualized_excl_distance,Yarc,Trips_day,Tail_kWh_day,DeltaPrice_SEK_per_kWh,PriceComp_SEK_annual
129,105,January,17,fast,medium,0.5968679025501102,18.50290497905342,76.31809953637757,147.819625,1.0,0.0,0.5968679025501102,0.0,0.0
129,131,January,17,fast,medium,1.3965854526053738,43.29414903076659,193.0446418978604,147.819625,1.0,0.0,1.3965854526053738,0.0,0.0
134,156,January,17,fast,fast,5.129744136328711,159.02206822619002,583.4246695335124,163.319625,1.0,0.0,5.129744136328711,0.0,0.0
135,136,January,17,fast,fast,19.59128368523727,607.3297942423553,2160.9371042447533,163.319625,1.0,0.0,19.59128368523727,0.0,0.0
135,158,January,17,fast,fast,14.527240188585214,450.34444584614164,1643.2535921331455,163.319625,1.0,0.0,14.527240188585214,0.0,0.0
138,160,January,17,fast,medium,3.0461897647868668,94.43188270839286,256.1510460541799,147.819625,1.0,0.0,3.0461897647868668,0.0,0.0
138,161,January,17,fast,medium,5.649973417474548,175.149175941711,558.1002967806529,147.819625,1.0,0.0,5.649973417474548,0.0,0.0
157,156,January,17,fast,fast,3.3334914668104823,103.33823547112495,370.64273247310655,163.319625,1.0,0.0,3.3334914668104823,0.0,0.0
157,158,January,17,fast,fast,1.1330212233489654,35.12365792381793,118.02913031118867,163.319625,1.0,0.0,1.1330212233489654,0.0,0.0
185,206,January,17,fast,fast,19.13505574277852,593.1867280261341,2100.957651123882,163.319625,1.0,0.0,19.13505574277852,0.0,0.0
186,166,January,17,fast,medium,0.682061713026183,21.143913103811673,66.23545742885563,147.819625,1.0,0.0,0.682061713026183,0.0,0.0
186,166,January,17,fast,fast,3.0221991523210825,93.68817372195356,340.3318160093247,163.319625,1.0,0.0,3.0221991523210825,0.0,0.0
