HexID,Month,TimeIndex,DestinationType,W_in_kWh_day,W_in_kWh_annual,E_public_by_dest_type_kWh_day,E_public_by_dest_type_kWh_annual
29,December,11,medium,0.0,0.0,0.0,0.0
29,December,11,fast,0.0,0.0,0.5004468275245756,15.513851653261844
29,December,12,slow,0.0,0.0,0.0,0.0
29,December,12,medium,0.0,0.0,0.0,0.0
29,December,12,fast,0.0,0.0,5.42634685662631,168.2167525554156
29,December,13,slow,0.0,0.0,0.0,0.0
29,December,13,medium,0.0,0.0,9.810740274827019,304.1329485196376
29,December,13,fast,0.0,0.0,25.0,775.0
29,December,14,slow,0.0,0.0,0.0,0.0
29,December,14,medium,0.0,0.0,0.0,0.0
29,December,14,fast,0.0,0.0,7.8070342861474025,242.01806287056948
29,December,15,slow,0.0,0.0,0.0,0.0
29,December,15,medium,0.0,0.0,0.0,0.0
29,December,15,fast,0.0,0.0,12.428532906306023,385.2845200954867
29,December,16,slow,0.0,0.0,0.0,0.0
29,December,16,medium,0.0,0.0,14.109802355803861,437.4038730299197
29,December,16,fast,0.0,0.0,25.0,775.0
29,December,17,slow,0.0,0.0,0.0,0.0
29,December,17,medium,0.0,0.0,43.41310285781721,1345.8061885923335
29,December,17,fast,0.0,0.0,25.0,775.0
29,December,18,slow,0.0,0.0,0.0,0.0
29,December,18,medium,0.0,0.0,0.0,0.0
29,December,18,fast,3.2652588549217043,101.22302450257283,18.875682057092344,585.1461437698626
29,December,19,slow,0.0,0.0,0.0,0.0
29,December,19,medium,0.0,0.0,0.0,0.0
29,December,19,fast,0.0,0.0,17.241289498084786,534.4799744406283
29,December,20,slow,0.0,0.0,0.0,0.0
29,December,20,medium,0.0,0.0,0.0,0.0
29,December,20,fast,0.47002584023778127,14.57080104737122,23.773978749452098,736.993341233015
29,December,21,slow,0.0,0.0,0.0,0.0
29,December,21,medium,0.0,0.0,0.0,0.0
29,December,21,fast,0.0,0.0,23.865083547183726,739.8175899626955
29,December,22,slow,0.0,0.0,0.0,0.0
29,December,22,medium,0.0,0.0,15.283231139643153,473.78016532893776
29,December,22,fast,0.0,0.0,25.0,775.0
29,December,23,slow,0.0,0.0,0.0,0.0
29,December,23,medium,0.0,0.0,30.623313407844446,949.3227156431778
29,December,23,fast,0.0,0.0,25.0,775.0
29,December,24,slow,0.0,0.0,0.0,0.0
29,December,24,medium,0.0,0.0,6.411630394299202,198.76054222327525
29,December,24,fast,0.0,0.0,25.0,775.0
29,December,25,slow,0.0,0.0,0.0,0.0
29,December,25,medium,0.0,0.0,35.22196465778448,1091.880904391319
29,December,25,fast,0.0,0.0,25.0,775.0
29,December,26,slow,0.0,0.0,0.0,0.0
29,December,26,medium,0.0,0.0,0.0,0.0
29,December,26,fast,0.0,0.0,17.049613754462147,528.5380263883266
29,December,27,slow,0.0,0.0,0.0,0.0
29,December,27,medium,0.0,0.0,31.025431650063467,961.7883811519675
29,December,27,fast,0.0,0.0,25.0,775.0
29,December,28,slow,0.0,0.0,0.0,0.0
29,December,28,medium,0.0,0.0,53.03298710947885,1644.0226003938444
29,December,28,fast,0.0,0.0,25.0,775.0
29,December,29,slow,0.0,0.0,0.0,0.0
