Month,TimeIndex,G_kWh_day,R_kWh_day,W_kWh_day,ThetaType_master_SEK,TypeAssignmentCost_reconstructed_SEK
February,1,0.0,0.0,0.0,0.0,0.0
February,2,1.002375122423004,1.002375122423004,1.002375122423004,0.0,0.0
February,3,4.537846938930301,4.537846938930301,4.537846938930301,0.0,0.0
February,4,4.3568892443349725,4.3568892443349725,4.3568892443349725,0.0,0.0
February,5,0.0,0.0,0.0,0.0,0.0
February,6,0.0,0.0,0.0,0.0,0.0
February,7,0.0,0.0,0.0,0.0,0.0
February,8,0.0,0.0,0.0,0.0,0.0
February,9,0.0,0.0,0.0,0.0,0.0
February,10,0.0,0.0,0.0,0.0,0.0
February,11,0.0,0.0,0.0,0.0,0.0
February,12,0.0,0.0,0.0,0.0,0.0
February,13,0.0,0.0,0.0,0.0,0.0
February,14,8.028540684501962,8.028540684501962,8.028540684501962,0.0,0.0
February,15,9.252288883145738,9.252288883145738,9.252288883145738,0.0,0.0
February,16,45.99260217175991,45.99260217175991,45.99260217175991,0.0,0.0
February,17,156.74430980894917,156.74430980894917,156.74430980894914,0.0,0.0
February,18,98.96342584915548,98.96342584915548,98.96342584915548,0.0,0.0
February,19,83.9765272170964,83.9765272170964,83.9765272170964,0.0,0.0
February,20,19.271102189432725,19.271102189432725,19.271102189432725,0.0,0.0
February,21,0.0,0.0,0.0,0.0,0.0
February,22,0.0,0.0,0.0,0.0,0.0
February,23,63.48652392231323,63.48652392231323,63.48652392231323,0.0,115.98005405844943
February,24,44.9207151938392,44.9207151938392,44.9207151938392,0.0,0.0
February,25,9.237811781206434,9.237811781206434,9.237811781206434,0.0,0.0
February,26,16.58030583823344,16.58030583823344,16.58030583823344,0.0,0.0
February,27,34.671162011782826,34.671162011782826,34.671162011782826,0.0,0.0
February,28,96.34566836920976,96.34566836920976,96.34566836920976,0.0,0.0
February,29,27.038280146095687,27.038280146095687,27.038280146095687,0.0,0.0
February,30,32.5412249766005,32.5412249766005,32.5412249766005,0.0,0.0
February,31,33.899799845879336,33.899799845879336,33.899799845879336,0.0,0.0
February,32,0.0,0.0,0.0,0.0,0.0
February,33,36.82508125462198,36.82508125462198,36.82508125462198,0.0,0.0
February,34,30.60604223426865,30.60604223426865,30.60604223426865,0.0,0.0
February,35,35.574785649499,35.574785649499,35.574785649499,0.0,0.0
February,36,15.095364459885062,15.095364459885062,15.095364459885062,0.0,0.0
February,37,0.0,0.0,0.0,0.0,0.0
February,38,0.6994932056427352,0.6994932056427352,0.6994932056427352,0.0,0.0
February,39,2.0740279286661547,2.0740279286661547,2.0740279286661547,0.0,0.0
February,40,0.0,0.0,0.0,0.0,0.0
February,41,0.0,0.0,0.0,0.0,0.0
February,42,0.0,0.0,0.0,0.0,0.0
February,43,0.0,0.0,0.0,0.0,0.0
February,44,0.0,0.0,0.0,0.0,0.0
February,45,0.0,0.0,0.0,0.0,0.0
February,46,0.0,0.0,0.0,0.0,0.0
February,47,0.0,0.0,0.0,0.0,0.0
February,48,0.0,0.0,0.0,0.0,0.0
March,1,0.0,0.0,0.0,0.0,0.0
March,2,1.002375122423004,1.002375122423004,1.002375122423004,0.0,0.0
March,3,4.5378469389302865,4.5378469389302865,4.5378469389302865,0.0,0.0
March,4,4.356889244334958,4.356889244334958,4.356889244334958,0.0,0.0
March,5,0.0,0.0,0.0,0.0,0.0
March,6,0.0,0.0,0.0,0.0,0.0
March,7,0.0,0.0,0.0,0.0,0.0
March,8,0.0,0.0,0.0,0.0,0.0
March,9,0.0,0.0,0.0,0.0,0.0
March,10,0.0,0.0,0.0,0.0,0.0
March,11,0.0,0.0,0.0,0.0,0.0
March,12,0.0,0.0,0.0,0.0,0.0
March,13,0.0,0.0,0.0,0.0,0.0
March,14,8.028540684501884,8.028540684501884,8.028540684501884,0.0,0.0
March,15,10.653368214241638,10.653368214241638,10.653368214241638,0.0,0.0
March,16,46.27887072014711,46.27887072014711,46.27887072014711,0.0,115.9108266879124
March,17,157.66542149894062,157.66542149894062,157.6654214989406,0.0,0.0
March,18,99.47910488141336,99.47910488141355,99.47910488141336,0.0,0.0
March,19,84.33651891913084,84.33651891913112,84.33651891913084,0.0,0.0
March,20,25.13554479622534,25.13554479622534,25.13554479622534,0.0,0.0
March,21,6.4827403515031685,6.4827403515031685,6.4827403515031685,0.0,0.0
March,22,2.682249941915325,2.682249941915325,2.682249941915325,0.0,0.0
March,23,63.586523922313226,63.58652392231323,63.586523922313226,0.0,0.0
March,24,44.68063829681158,44.68063829681158,44.68063829681158,0.0,0.0
