iteration,Month,TimeIndex,cut_type,rhs_at_current_SEK,theta_at_current_SEK,violation_SEK,nonzeros,positive_type_arcs,dual_termination,exactness,selection_rule
1,July,21,corepoint_lp_dual_upper_cut,0.0,1428286.7435290643,1428286.7435290643,1473,9756,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,33,corepoint_lp_dual_upper_cut,0.0,1422689.9539438146,1422689.9539438146,1352,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,27,corepoint_lp_dual_upper_cut,0.0,1422536.917862492,1422536.917862492,1462,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,25,corepoint_lp_dual_upper_cut,0.0,1421944.3480343088,1421944.3480343088,1457,10188,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,29,corepoint_lp_dual_upper_cut,0.0,1417544.2426787775,1417544.2426787775,1386,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,30,corepoint_lp_dual_upper_cut,0.0,1414009.9774986233,1414009.9774986233,1335,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,25,corepoint_lp_dual_upper_cut,0.0,1411958.2828863377,1411958.2828863377,1457,10188,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,26,corepoint_lp_dual_upper_cut,0.0,1410424.8853158609,1410424.8853158609,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,29,corepoint_lp_dual_upper_cut,0.0,1408102.970854504,1408102.970854504,1386,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,30,corepoint_lp_dual_upper_cut,0.0,1404592.2449454782,1404592.2449454782,1335,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,November,19,corepoint_lp_dual_upper_cut,0.0,1395013.766442676,1395013.766442676,1535,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,34,corepoint_lp_dual_upper_cut,0.0,1393533.1981482762,1393533.1981482762,1366,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,25,corepoint_lp_dual_upper_cut,0.0,1389522.0585928443,1389522.0585928443,1457,10188,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,33,corepoint_lp_dual_upper_cut,0.0,1386442.00301902,1386442.00301902,1349,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,20,corepoint_lp_dual_upper_cut,0.0,1385399.3067146805,1385399.3067146805,1531,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,21,corepoint_lp_dual_upper_cut,0.0,1383190.1913534175,1383190.1913534175,1471,9756,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,34,corepoint_lp_dual_upper_cut,0.0,1383093.9855730685,1383093.9855730685,1369,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,26,corepoint_lp_dual_upper_cut,0.0,1380543.570573222,1380543.570573222,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,34,corepoint_lp_dual_upper_cut,0.0,1375640.6851829141,1375640.6851829141,1367,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,24,corepoint_lp_dual_upper_cut,0.0,1368798.9417346746,1368798.9417346746,1484,10026,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
