from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,AnnualNetValue_SEK,Coeff_SEK_per_kWh_annualized_excl_distance,Yarc,Trips_day,Tail_kWh_day,DeltaPrice_SEK_per_kWh,PriceComp_SEK_annual
408,409,January,17,medium,medium,2.9883647661773467,92.63930775149775,298.44941863261147,147.819625,1.0,0.0,2.9883647661773467,0.0,0.0
415,416,January,17,fast,medium,1.1721311475409841,36.33606557377051,115.70232952185796,147.819625,1.0,0.0,1.1721311475409841,0.0,0.0
458,457,January,17,fast,medium,3.0637850616290194,94.9773369104996,288.429867754351,147.819625,1.0,0.0,3.0637850616290194,0.0,0.0
549,533,January,17,fast,medium,3.025157232704377,93.7798742138357,288.46579898322614,147.819625,1.0,0.0,3.025157232704377,0.0,0.0
572,588,January,17,fast,medium,0.5034201739536002,15.606025392561605,48.21452933985355,147.819625,1.0,0.0,0.5034201739536002,0.0,0.0
95,96,January,18,medium,medium,20.76200481286125,643.6221491986987,1861.8712259055778,147.819625,1.0,1.0,0.7620048128612481,0.0,0.0
137,136,January,18,fast,fast,0.6600288978518165,20.460895833406312,70.96224021896839,163.319625,1.0,0.0,0.6600288978518165,0.0,0.0
137,160,January,18,fast,medium,4.197370615388202,130.11848907703427,398.1627934398733,147.819625,1.0,0.0,4.197370615388202,0.0,0.0
138,161,January,18,fast,medium,0.22071602243730126,6.842196695556339,21.802169412960424,147.819625,1.0,0.0,0.22071602243730126,0.0,0.0
148,147,January,18,fast,medium,3.316432430813137,102.80940535520725,336.2198258702503,147.819625,1.0,0.0,3.316432430813137,0.0,0.0
159,158,January,18,fast,fast,13.022913906430176,403.71033109933546,1422.2883177267545,163.319625,1.0,0.0,13.022913906430176,0.0,0.0
164,184,January,18,fast,medium,5.360126351751063,166.16391690428296,534.8065978124184,147.819625,1.0,0.0,5.360126351751063,0.0,0.0
164,184,January,18,fast,fast,5.322547998482335,164.9989879529524,613.5567116541379,163.319625,1.0,0.0,5.322547998482335,0.0,0.0
215,214,January,18,fast,medium,0.4551142011511331,14.108540235685126,48.152847566366674,147.819625,1.0,0.0,0.4551142011511331,0.0,0.0
221,220,January,18,fast,medium,3.1891491759837223,98.8636244554954,283.3103579206721,147.819625,1.0,0.0,3.1891491759837223,0.0,0.0
221,220,January,18,fast,fast,1.8648479906911248,57.81028771142487,194.57025469123187,163.319625,1.0,0.0,1.8648479906911248,0.0,0.0
222,204,January,18,fast,medium,15.037997114210775,466.177910540534,1341.6545877933672,147.819625,1.0,0.0,15.037997114210775,0.0,0.0
