iteration,Month,TimeIndex,cut_type,rhs_at_current_SEK,theta_at_current_SEK,violation_SEK,nonzeros,positive_type_arcs,dual_termination,exactness,selection_rule
1,August,28,corepoint_lp_dual_upper_cut,0.0,1585106.2477348228,1585106.2477348228,1386,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,27,corepoint_lp_dual_upper_cut,0.0,1575474.5936306985,1575474.5936306985,1457,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,18,corepoint_lp_dual_upper_cut,0.0,1561635.5248232316,1561635.5248232316,1595,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,28,corepoint_lp_dual_upper_cut,0.0,1560072.273365141,1560072.273365141,1387,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,November,18,corepoint_lp_dual_upper_cut,0.0,1543051.3383504825,1543051.3383504825,1597,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,16,corepoint_lp_dual_upper_cut,0.0,1540318.7890942746,1540318.7890942746,1520,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,27,corepoint_lp_dual_upper_cut,0.0,1533586.3265026952,1533586.3265026952,1462,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,33,corepoint_lp_dual_upper_cut,0.0,1530473.813258575,1530473.813258575,1352,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,33,corepoint_lp_dual_upper_cut,0.0,1520343.5642541382,1520343.5642541382,1353,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,27,corepoint_lp_dual_upper_cut,0.0,1509366.0189704862,1509366.0189704862,1459,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
