from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,AnnualNetValue_SEK,Coeff_SEK_per_kWh_annualized_excl_distance,Yarc,Trips_day,Tail_kWh_day,DeltaPrice_SEK_per_kWh,PriceComp_SEK_annual
13,27,January,15,fast,slow,0.27968313521638066,8.6701771917078,18.674275594655164,133.846375,1.0,0.0,0.27968313521638066,0.0,0.0
93,92,January,15,fast,medium,2.9533493036886753,91.55382841434894,317.0654038217226,149.346375,1.0,0.0,2.9533493036886753,0.0,0.0
93,92,January,15,fast,fast,2.4139376698666624,74.83206776586653,296.5713329668587,164.846375,1.0,0.0,2.4139376698666624,0.0,0.0
99,100,January,15,medium,medium,0.6624264136717191,20.535218823823293,66.70136834650751,149.346375,1.0,0.0,0.6624264136717191,0.0,0.0
129,131,January,15,fast,medium,2.953347305498347,91.55376647044876,412.73887526180744,149.346375,1.0,0.0,2.953347305498347,0.0,0.0
249,268,January,15,fast,medium,3.604651162790702,111.74418604651176,388.57755639534923,149.346375,1.0,0.0,3.604651162790702,0.0,0.0
366,367,January,15,fast,fast,2.9206906643254316,90.54141059408838,320.9172392449517,164.846375,1.0,0.0,2.9206906643254316,0.0,0.0
401,402,January,15,fast,fast,0.5725436263565982,17.748852417054543,62.430493864423624,164.846375,1.0,0.0,0.5725436263565982,0.0,0.0
415,416,January,15,fast,medium,1.1721311475409841,36.33606557377051,117.49188075136615,149.346375,1.0,0.0,1.1721311475409841,0.0,0.0
473,445,January,15,fast,medium,3.0,93.0,300.877165,149.346375,1.0,0.0,3.0,0.0,0.0
484,457,January,15,fast,fast,0.39560378522237727,12.263717341893695,41.70871872402033,164.846375,1.0,0.0,0.39560378522237727,0.0,0.0
520,502,January,15,medium,medium,2.5,77.5,257.1645041666667,149.346375,1.0,0.0,2.5,0.0,0.0
572,588,January,15,fast,medium,0.5034201739536321,15.606025392562596,48.98312609044031,149.346375,1.0,0.0,0.5034201739536321,0.0,0.0
93,92,January,16,fast,fast,4.632713026444662,143.61410381978453,569.1654323375775,164.846375,1.0,0.0,4.632713026444662,0.0,0.0
97,96,January,16,fast,medium,3.5789600175342002,110.94776054356021,318.24533003716175,149.346375,1.0,0.0,3.5789600175342002,0.0,0.0
116,117,January,16,fast,fast,13.443920197853942,416.7615261334722,1557.6816286535736,164.846375,1.0,0.0,13.443920197853942,0.0,0.0
