from_HexID,to_HexID,Month,TimeIndex,Distance_km,Energy_kWh_day,Energy_kWh_annual,Yarc,Trips,Tail_kWh
13,21,April,16,1.0012,1.3379891547824911,40.139674643474734,1.0,-0.0,1.3379891547824911
13,21,August,16,1.0012,1.3379891547824911,41.477663798257225,1.0,-0.0,1.3379891547824911
13,21,December,16,1.0012,1.337989154782468,41.47766379825651,1.0,-0.0,1.337989154782468
13,21,February,16,1.0012,1.3379891547824911,37.46369633390975,1.0,-0.0,1.3379891547824911
13,21,January,16,1.0012,1.3379891547824911,41.477663798257225,1.0,-0.0,1.3379891547824911
13,21,July,16,1.0012,1.3379891547824911,41.477663798257225,1.0,-0.0,1.3379891547824911
13,21,June,16,1.0012,1.3379891547824911,40.139674643474734,1.0,-0.0,1.3379891547824911
13,21,March,16,1.0012,1.3379891547824911,41.477663798257225,1.0,-0.0,1.3379891547824911
13,21,May,16,1.0012,1.3379891547824911,41.477663798257225,1.0,-0.0,1.3379891547824911
13,21,November,16,1.0012,1.3379891547824911,40.139674643474734,1.0,-0.0,1.3379891547824911
13,21,October,16,1.0012,1.3379891547824911,41.477663798257225,1.0,-0.0,1.3379891547824911
13,21,September,16,1.0012,1.3379891547824911,40.139674643474734,1.0,-0.0,1.3379891547824911
14,13,April,28,1.1531,12.905228764308676,387.1568629292603,1.0,-0.0,12.905228764308676
14,13,April,29,1.1531,15.655716920058929,469.67150760176787,1.0,-0.0,15.655716920058929
14,13,April,35,1.1531,4.784007173279662,143.52021519838985,1.0,-0.0,4.784007173279662
14,13,August,35,1.1531,4.784007173279662,148.3042223716695,1.0,-0.0,4.784007173279662
14,13,December,35,1.1531,4.784007173279662,148.3042223716695,1.0,-0.0,4.784007173279662
14,13,February,35,1.1531,4.784007173279587,133.95220085182842,1.0,-0.0,4.784007173279587
14,13,January,35,1.1531,4.784007173279662,148.3042223716695,1.0,-0.0,4.784007173279662
14,13,July,35,1.1531,4.784007173279662,148.3042223716695,1.0,-0.0,4.784007173279662
14,13,June,28,1.1531,13.78848176430867,413.6544529292601,1.0,-0.0,13.78848176430867
14,13,June,29,1.1531,15.661333586725597,469.8400076017679,1.0,-0.0,15.661333586725597
14,13,June,35,1.1531,4.784007173279662,143.52021519838985,1.0,-0.0,4.784007173279662
14,13,March,35,1.1531,4.784007173279662,148.3042223716695,1.0,-0.0,4.784007173279662
14,13,May,19,1.1531,3.692435987802579,114.46551562187994,1.0,-0.0,3.692435987802579
14,13,May,21,1.1531,11.267105938812126,349.2802841031759,1.0,-0.0,11.267105938812126
14,13,May,28,1.1531,14.369533774891437,445.4555470216345,1.0,0.0,14.369533774891437
14,13,May,35,1.1531,4.784007173279662,148.3042223716695,1.0,-0.0,4.784007173279662
14,13,November,35,1.1531,4.784007173279587,143.5202151983876,1.0,-0.0,4.784007173279587
14,13,October,35,1.1531,4.784007173279662,148.3042223716695,1.0,-0.0,4.784007173279662
14,13,September,35,1.1531,4.784007173279662,143.52021519838985,1.0,-0.0,4.784007173279662
15,7,April,16,1.0885,6.481363411250886,194.44090233752658,1.0,-0.0,6.481363411250886
15,7,April,17,1.0885,31.50861765740415,945.2585297221245,1.0,1.0,11.508617657404152
15,7,April,18,1.0885,33.0,990.0,1.0,1.0,13.0
15,7,April,19,1.0885,33.0,990.0,1.0,1.0,13.0
15,7,April,20,1.0885,6.645862499999884,199.37587499999654,1.0,-0.0,6.645862499999884
15,7,April,26,1.0885,3.9438035437235524,118.31410631170657,1.0,-0.0,3.9438035437235524
15,7,April,27,1.0885,8.58837541666655,257.6512624999965,1.0,-0.0,8.58837541666655
15,7,April,28,1.0885,8.58837541666655,257.6512624999965,1.0,-0.0,8.58837541666655
15,7,April,29,1.0885,10.302087938593958,309.06263815781875,1.0,0.0,10.302087938593958
15,7,April,30,1.0885,5.565245833333217,166.9573749999965,1.0,-0.0,5.565245833333217
15,7,April,31,1.0885,9.212228333333334,276.36685,1.0,-0.0,9.212228333333334
15,7,April,32,1.0885,9.212228333333334,276.36685,1.0,-0.0,9.212228333333334
15,7,April,33,1.0885,8.385808105049506,251.57424315148518,1.0,-0.0,8.385808105049506
15,7,April,34,1.0885,0.2506939925582605,7.520819776747816,1.0,-0.0,0.2506939925582605
15,7,April,35,1.0885,1.0124408333333335,30.373225000000005,1.0,-0.0,1.0124408333333335
15,7,April,36,1.0885,1.0124408333333335,30.373225000000005,1.0,-0.0,1.0124408333333335
15,7,April,37,1.0885,7.521859583333449,225.65578750000347,1.0,-0.0,7.521859583333449
15,7,April,38,1.0885,5.83315887567193,174.9947662701579,1.0,-0.0,5.83315887567193
15,7,August,16,1.0885,6.481363411250859,200.92226574877662,1.0,-0.0,6.481363411250859
15,7,August,17,1.0885,31.50861765740415,976.7671473795288,1.0,1.0,11.508617657404134
15,7,August,18,1.0885,33.0,1023.0,1.0,1.0,13.0
15,7,August,19,1.0885,33.0,1023.0,1.0,1.0,13.0
15,7,August,20,1.0885,0.9557181451612209,29.627262499997848,1.0,-0.0,0.9557181451612209
