from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,DeltaPrice_SEK_per_kWh,PriceComp_SEK_day,PriceComp_SEK_annual
15,7,April,35,fast,medium,1.0124408333333335,30.373225000000005,0.0,0.0,0.0
15,7,April,36,medium,medium,1.0124408333333335,30.373225000000005,0.0,0.0,0.0
15,7,April,37,medium,medium,7.521859583333449,225.65578750000347,0.0,0.0,0.0
15,7,April,38,fast,medium,5.83315887567193,174.9947662701579,0.0,0.0,0.0
15,7,August,16,medium,medium,6.481363411250859,200.92226574877662,0.0,0.0,0.0
15,7,August,17,fast,medium,31.50861765740415,976.7671473795288,0.0,0.0,0.0
15,7,August,18,medium,medium,33.0,1023.0,0.0,0.0,0.0
15,7,August,19,fast,medium,33.0,1023.0,0.0,0.0,0.0
15,7,August,20,medium,medium,0.9557181451612209,29.627262499997848,0.0,0.0,0.0
15,7,August,23,fast,medium,4.132427433800386,128.10525044781195,0.0,0.0,0.0
15,7,August,27,fast,medium,9.511501612903224,294.85654999999997,0.0,0.0,0.0
15,7,August,28,fast,medium,9.511501612903226,294.85655,0.0,0.0,0.0
15,7,August,29,fast,medium,0.8106604838708531,25.130474999996444,0.0,0.0,0.0
15,7,August,30,medium,medium,0.8106604838708913,25.13047499999763,0.0,0.0,0.0
15,7,August,31,fast,medium,3.2405687181636966,100.45763026307459,0.0,0.0,0.0
15,7,August,33,medium,medium,8.385808105049506,259.9600512565347,0.0,0.0,0.0
15,7,August,34,medium,medium,1.0395160602167919,32.22499786672055,0.0,0.0,0.0
15,7,August,35,fast,medium,1.3991326612903228,43.373112500000005,0.0,0.0,0.0
15,7,August,36,fast,medium,1.3991326612903228,43.373112500000005,0.0,0.0,0.0
15,7,December,16,fast,medium,6.481363411250875,200.92226574877714,0.0,0.0,0.0
15,7,December,17,fast,medium,31.50861765740415,976.7671473795288,0.0,0.0,0.0
15,7,December,18,medium,medium,33.0,1023.0,0.0,0.0,0.0
15,7,December,19,fast,medium,33.0,1023.0,0.0,0.0,0.0
15,7,December,23,fast,medium,4.132427433800389,128.10525044781207,0.0,0.0,0.0
15,7,December,27,fast,medium,7.523338611870216,233.2234969679767,0.0,0.0,0.0
15,7,December,28,medium,medium,7.996436940161956,247.88954514502063,0.0,0.0,0.0
15,7,February,16,fast,medium,6.481363411250886,181.47817551502482,0.0,0.0,0.0
15,7,February,17,medium,medium,31.50861765740415,882.2412944073162,0.0,0.0,0.0
15,7,February,18,medium,medium,33.0,924.0,0.0,0.0,0.0
15,7,February,19,fast,medium,33.0,924.0,0.0,0.0,0.0
15,7,February,23,fast,medium,4.132427433799279,115.70796814637981,0.0,0.0,0.0
15,7,February,27,fast,medium,7.523338611870258,210.65348113236723,0.0,0.0,0.0
15,7,February,28,medium,medium,7.996436940161999,223.90023432453597,0.0,0.0,0.0
15,7,February,33,medium,medium,6.42298319390602,179.84352942936854,0.0,0.0,0.0
15,7,January,16,fast,medium,6.481363411250884,200.9222657487774,0.0,0.0,0.0
15,7,January,17,fast,medium,31.50861765740415,976.7671473795288,0.0,0.0,0.0
15,7,January,18,medium,medium,33.0,1023.0,0.0,0.0,0.0
15,7,January,19,medium,medium,33.0,1023.0,0.0,0.0,0.0
15,7,January,23,fast,medium,4.132427433800386,128.10525044781195,0.0,0.0,0.0
15,7,January,27,medium,medium,7.52333861187023,233.22349696797713,0.0,0.0,0.0
15,7,January,28,medium,medium,7.996436940161999,247.88954514502197,0.0,0.0,0.0
15,7,July,16,fast,medium,6.481363411250886,200.92226574877745,0.0,0.0,0.0
15,7,July,17,fast,medium,31.50861765740415,976.7671473795288,0.0,0.0,0.0
15,7,July,18,medium,medium,33.0,1023.0,0.0,0.0,0.0
15,7,July,19,medium,medium,33.0,1023.0,0.0,0.0,0.0
15,7,July,20,medium,medium,2.7775685483869808,86.1046249999964,0.0,0.0,0.0
15,7,July,23,fast,medium,0.9771380789617865,30.29128044781538,0.0,0.0,0.0
15,7,July,27,fast,medium,11.213789112903227,347.62746250000004,0.0,0.0,0.0
15,7,July,28,fast,medium,11.213789112903227,347.62746250000004,0.0,0.0,0.0
15,7,July,33,medium,medium,8.385808105049534,259.96005125653556,0.0,0.0,0.0
15,7,July,35,fast,medium,2.369102016129033,73.44216250000002,0.0,0.0,0.0
15,7,July,36,medium,medium,2.3691020161290326,73.44216250000001,0.0,0.0,0.0
15,7,July,37,fast,medium,7.592306331192242,235.3614962669595,0.0,0.0,0.0
15,7,July,38,medium,medium,0.7467951612903228,23.150650000000006,0.0,0.0,0.0
15,7,June,16,fast,medium,6.481363411250886,194.44090233752658,0.0,0.0,0.0
15,7,June,17,fast,medium,31.50861765740415,945.2585297221245,0.0,0.0,0.0
15,7,June,18,fast,medium,33.0,990.0,0.0,0.0,0.0
15,7,June,19,fast,medium,33.0,990.0,0.0,0.0,0.0
15,7,June,20,medium,medium,6.728969166666554,201.8690749999966,0.0,0.0,0.0
15,7,June,26,medium,medium,4.006171877056891,120.18515631170673,0.0,0.0,0.0
15,7,June,27,medium,medium,16.53193041666667,495.9579125,0.0,0.0,0.0
15,7,June,28,fast,medium,16.531930416666665,495.95791249999996,0.0,0.0,0.0
15,7,June,29,fast,medium,13.90412291666667,417.12368750000013,0.0,0.0,0.0
15,7,June,30,medium,medium,13.90412291666667,417.12368750000013,0.0,0.0,0.0
15,7,June,31,fast,medium,10.624138371975677,318.7241511592703,0.0,0.0,0.0
15,7,June,32,fast,medium,11.169672083333333,335.0901625,0.0,0.0,0.0
15,7,June,33,fast,medium,7.795553341166954,233.86660023500863,0.0,0.0,0.0
15,7,June,35,medium,medium,1.968133022376876,59.04399067130628,0.0,0.0,0.0
15,7,June,36,medium,medium,0.1,3.0,0.0,0.0,0.0
15,7,June,37,fast,medium,0.8100312500000001,24.300937500000003,0.0,0.0,0.0
