HexID,Month,DemandClass,RepresentativeDayDemand_kWh,RepresentativeDaySlack_kWh,AnnualSlack_kWh,SlackShare
14,July,home,2076.57034575251,0.0,0.0,0.0
14,July,public,1402.5000000000002,0.0,0.0,0.0
14,August,home,2076.57034575251,0.0,0.0,0.0
14,August,public,1402.5000000000002,0.0,0.0,0.0
14,September,home,2076.57034575251,0.0,0.0,0.0
14,September,public,1402.5000000000002,0.0,0.0,0.0
14,October,home,2076.57034575251,0.0,0.0,0.0
14,October,public,1402.5000000000002,0.0,0.0,0.0
14,November,home,2076.57034575251,0.0,0.0,0.0
14,November,public,1402.5000000000002,0.0,0.0,0.0
14,December,home,2076.57034575251,0.0,0.0,0.0
14,December,public,1402.5000000000002,0.0,0.0,0.0
15,January,home,153.11491530964526,0.0,0.0,0.0
15,January,public,4262.500000000002,0.0,0.0,0.0
15,February,home,153.11491530964526,0.0,0.0,0.0
15,February,public,4262.500000000002,0.0,0.0,0.0
15,March,home,153.11491530964526,0.0,0.0,0.0
15,March,public,4262.500000000002,0.0,0.0,0.0
15,April,home,153.11491530964526,0.0,0.0,0.0
15,April,public,4262.500000000002,0.0,0.0,0.0
15,May,home,153.11491530964526,0.0,0.0,0.0
15,May,public,4262.500000000002,0.0,0.0,0.0
15,June,home,153.11491530964526,0.0,0.0,0.0
15,June,public,4262.500000000002,0.0,0.0,0.0
15,July,home,153.11491530964526,0.0,0.0,0.0
15,July,public,4262.500000000002,0.0,0.0,0.0
15,August,home,153.11491530964526,0.0,0.0,0.0
15,August,public,4262.500000000002,0.0,0.0,0.0
15,September,home,153.11491530964526,0.0,0.0,0.0
15,September,public,4262.500000000002,0.0,0.0,0.0
15,October,home,153.11491530964526,0.0,0.0,0.0
15,October,public,4262.500000000002,0.0,0.0,0.0
15,November,home,153.11491530964526,0.0,0.0,0.0
15,November,public,4262.500000000002,0.0,0.0,0.0
15,December,home,153.11491530964526,0.0,0.0,0.0
15,December,public,4262.500000000002,0.0,0.0,0.0
16,January,home,1861.2259199774007,0.0,0.0,0.0
16,January,public,2307.5,0.0,0.0,0.0
16,February,home,1861.2259199774007,0.0,0.0,0.0
16,February,public,2307.5,0.0,0.0,0.0
16,March,home,1861.2259199774007,0.0,0.0,0.0
16,March,public,2307.5,0.0,0.0,0.0
16,April,home,1861.2259199774007,0.0,0.0,0.0
16,April,public,2307.5,0.0,0.0,0.0
16,May,home,1861.2259199774007,0.0,0.0,0.0
16,May,public,2307.5,0.0,0.0,0.0
16,June,home,1861.2259199774007,0.0,0.0,0.0
16,June,public,2307.5,0.0,0.0,0.0
16,July,home,1861.2259199774007,0.0,0.0,0.0
16,July,public,2307.5,0.0,0.0,0.0
16,August,home,1861.2259199774007,0.0,0.0,0.0
16,August,public,2307.5,0.0,0.0,0.0
16,September,home,1861.2259199774007,0.0,0.0,0.0
16,September,public,2307.5,0.0,0.0,0.0
16,October,home,1861.2259199774007,0.0,0.0,0.0
16,October,public,2307.5,0.0,0.0,0.0
16,November,home,1861.2259199774007,0.0,0.0,0.0
16,November,public,2307.5,0.0,0.0,0.0
16,December,home,1861.2259199774007,0.0,0.0,0.0
16,December,public,2307.5,0.0,0.0,0.0
17,January,home,1160.539850631778,0.0,0.0,0.0
17,January,public,2859.9999999999986,0.0,0.0,0.0
17,February,home,1160.539850631778,0.0,0.0,0.0
17,February,public,2859.9999999999986,0.0,0.0,0.0
17,March,home,1160.539850631778,0.0,0.0,0.0
17,March,public,2859.9999999999986,0.0,0.0,0.0
17,April,home,1160.539850631778,0.0,0.0,0.0
17,April,public,2859.9999999999986,0.0,0.0,0.0
17,May,home,1160.539850631778,0.0,0.0,0.0
17,May,public,2859.9999999999986,0.0,0.0,0.0
17,June,home,1160.539850631778,0.0,0.0,0.0
