HexID,AnnualPublicDemand_kWh,AnnualSlack_kWh,AnnualRedirectionOut_kWh,AnnualRedirectionIn_kWh,NetRedirectionIn_kWh,ChargerFootprintUsed,ParkingFootprintLimit,FootprintBinding,InstalledCapacity_kWh_slot
51,123187.50000000006,0.0,1159.7650374139807,1051.602939901126,-108.16209751285464,15.0,22.5,False,33.0
37,120449.9999999998,0.0,0.0,0.0,0.0,160.0,379.0,False,47.0
27,111324.99999999999,0.0,7446.841410472422,8350.664166074403,903.822755601981,15.0,42.5,False,33.0
48,104025.00000000001,0.0,1298.59307081679,5991.898937040714,4693.305866223925,20.0,106.0,False,44.0
13,103112.49999999991,0.0,488.36604149564823,44000.464637183366,43512.09859568772,155.0,311.5,False,36.0
56,99462.50000000004,0.0,0.0,0.0,0.0,20.0,62.0,False,44.0
50,87600.00000000003,0.0,2390.4939408420614,5304.813437801544,2914.3194969594824,150.0,184.0,False,25.0
7,52012.500000000015,0.0,421.1404028410443,55473.56830478275,55052.4279019417,15.0,40.5,False,33.0
19,48362.500000000015,0.0,389.44954703635955,214.3483232428242,-175.10122379353535,10.0,137.0,False,22.0
12,45625.000000000015,0.0,214.3483232428242,389.44954703635955,175.10122379353535,10.0,264.5,False,22.0
42,41062.49999999999,0.0,0.0,3687.708751884467,3687.708751884467,31.0,98.5,False,71.5
2,8212.500000000005,0.0,1674.2836004375501,98.65710642384116,-1575.626494013709,5.0,246.0,False,11.0
0,0.0,0.0,0.0,0.0,0.0,0.0,248.5,False,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,261.5,False,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,141.5,False,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,134.5,False,0.0
